Geneid,GSM461177,GSM461180
FBgn0250732,148,161
FBti0060344,0,0
FBgn0286036,0,0
FBgn0037409,0,0
FBgn0027948,928,1225
FBgn0038675,28,46
FBgn0264900,0,0
FBgn0000500,0,0
FBgn0261504,2,0
FBgn0037610,30,37
FBgn0053095,0,0
FBgn0038070,2,0
FBgn0267571,0,1
FBgn0261859,174,206
FBgn0262389,0,0
FBgn0037363,235,212
FBgn0039552,0,0
FBgn0267797,0,0
FBgn0039732,30,17
FBgn0038224,148,142
FBgn0264776,23,27
FBgn0038525,0,0
FBgn0262397,0,0
FBti0019351,0,0
FBti0019410,0,0
FBgn0262899,0,0
FBgn0261436,126,113
FBti0063117,0,0
FBgn0262378,0,0
FBgn0038814,0,1
FBgn0286871,0,0
FBgn0267809,0,0
FBgn0038279,0,1
FBgn0037625,0,0
FBgn0053093,0,0
FBti0062189,0,0
FBti0019436,0,1
FBgn0051579,0,0
FBgn0027574,49,49
FBgn0260746,127,181
FBgn0037930,266,278
FBgn0038709,0,0
FBgn0027095,190,265
FBtr0309605_df_nrg,0,0
FBgn0051450,24,24
FBgn0038774,0,0
FBgn0037794,22,38
FBgn0039229,270,233
FBgn0065064,2,3
FBti0019348,0,0
FBgn0038737,34,18
FBgn0262431,0,0
FBti0063768,0,0
FBgn0037399,0,0
FBti0019411,0,0
FBti0020393,0,0
FBgn0039291,10,8
FBgn0037547,0,0
FBgn0038966,36,26
FBgn0037690,0,0
FBti0019321,0,2
FBgn0038783,0,0
FBgn0011998,0,0
FBgn0038055,46,74
FBgn0261453,0,0
FBgn0261792,38,38
FBgn0040606,0,0
FBgn0037709,46,42
FBti0059826,0,0
FBgn0051106,0,0
FBti0019291,4,2
FBgn0039131,0,0
FBgn0267686,0,0
FBti0062552,0,0
FBti0061858,0,0
FBgn0037777,14,2
FBgn0046685,148,226
FBgn0259733,0,0
FBgn0266388,0,0
FBti0061730,0,0
FBgn0267561,0,0
FBgn0038993,3,1
FBgn0262971,0,0
FBgn0039313,0,0
FBgn0004395,98,106
FBgn0051201,0,0
FBgn0266674,61,94
FBgn0267767,0,0
FBgn0039019,28,44
FBti0062939,0,0
FBgn0039172,136,187
RR46358_transposable_element,3,0
FBgn0011290,52,68
FBgn0262384,0,0
FBgn0283626,0,0
FBgn0267816,0,0
FBgn0037747,32,58
FBgn0037751,14,22
FBgn0039486,0,0
FBgn0039228,2,0
FBgn0039073,18,28
FBgn0040256,16,12
FBgn0037888,0,0
FBgn0039404,22,31
FBgn0264905,0,0
FBgn0038342,2,0
FBgn0005674,568,582
FBgn0266229,0,0
FBgn0011768,222,283
FBgn0265449,0,0
FBgn0037917,54,70
FBgn0086365,559,374
FBgn0017567,118,115
FBgn0039290,41,42
FBgn0267208,0,0
FBti0019361,0,0
FBgn0051287,1,0
FBgn0038577,28,52
FBgn0037720,206,156
FBgn0038033,0,0
FBgn0001112,0,0
FBgn0038344,307,336
FBgn0037678,6,10
FBgn0267709,0,0
RR48352_transposable_element,5,0
FBgn0051072,70,81
FBgn0013277,0,0
FBgn0037718,322,319
FBgn0039520,0,0
FBti0062070,0,0
FBgn0286071,39,104
FBgn0266701,0,0
FBgn0265197,0,0
FBgn0003002,0,0
FBgn0012000,0,0
FBgn0264428,0,0
FBgn0266399,9,13
FBgn0041588,116,139
